Intake Pressure,Maintenance Date
570.56,2024-10-26
547.0,2024-10-26
680.57,2024-10-26
575.37,2024-10-26
645.9,2024-10-26
588.68,2024-10-26
611.95,2024-10-26
592.43,2024-10-26
572.73,2024-10-26
658.38,2024-10-26
606.93,2024-10-26
540.45,2024-10-26
587.23,2024-10-26
569.29,2024-10-26
537.03,2024-10-26
686.31,2024-10-26
602.83,2024-10-26
565.37,2024-10-26
571.9,2024-10-26
594.79,2024-10-26
585.6,2024-10-26
535.28,2024-10-26
551.99,2024-10-26
561.48,2024-10-26
603.73,2024-10-26
590.94,2024-10-26
586.35,2024-10-26
541.18,2024-10-26
560.89,2024-10-26
542.25,2024-10-26
554.14,2024-10-26
670.82,2024-10-26
574.52,2024-10-26
674.04,2024-10-26
568.21,2024-10-26
577.78,2024-10-26
621.77,2024-10-26
575.12,2024-10-26
553.79,2024-10-26
558.71,2024-10-26
576.03,2024-10-26
537.01,2024-10-26
611.23,2024-10-26
684.39,2024-10-26
640.54,2024-10-26
575.21,2024-10-26
543.18,2024-10-26
629.97,2024-10-26
650.15,2024-10-26
685.19,2024-12-14
662.29,2024-12-14
575.53,2024-12-14
551.71,2024-12-14
586.01,2024-12-14
650.11,2024-12-14
601.78,2024-12-14
560.99,2024-12-14
530.6,2024-12-14
654.65,2024-12-14
660.17,2024-12-14
600.43,2024-12-14
655.3,2024-12-14
578.7,2024-12-14
651.16,2024-12-14
562.92,2024-12-14
681.82,2024-12-14
618.99,2024-12-14
594.98,2024-12-14
534.88,2024-12-14
570.36,2024-12-14
601.55,2024-12-14
650.11,2024-12-14
659.12,2025-02-24
673.42,2025-02-24
625.92,2025-02-24
653.73,2025-02-24
599.17,2025-02-24
601.99,2025-02-24
686.7,2025-02-24
662.13,2025-02-24
647.51,2025-02-24
678.16,2025-02-24
534.63,2025-02-24
537.31,2025-02-24
560.45,2025-02-24
556.69,2025-02-24
591.1,2025-02-24
614.12,2025-02-24
563.61,2025-02-24
617.45,2025-02-24
582.32,2025-02-24
589.75,2025-02-24
557.88,2025-02-24
597.58,2025-02-24
612.36,2025-02-24
588.25,2025-02-24
556.8,2025-02-24
613.09,2025-02-24
527.18,2025-02-24
552.13,2025-02-24
596.45,2025-02-24
539.21,2025-02-24
529.76,2025-02-24
601.96,2025-02-24
671.19,2025-02-24
531.68,2025-02-24
650.34,2025-02-24
528.32,2025-02-24
641.88,2025-06-12
636.71,2025-06-12
669.68,2025-06-12
569.96,2025-06-12
564.1,2025-06-12
613.13,2025-06-12
582.19,2025-06-12
594.82,2025-06-12
592.76,2025-06-12
577.47,2025-06-12
578.92,2025-06-12
601.23,2025-06-12
564.01,2025-06-12
541.74,2025-06-12
538.98,2025-06-12
668.91,2025-06-12
556.41,2025-06-12
649.42,2025-06-12
597.59,2025-06-12
670.13,2025-06-12
685.29,2025-06-12
674.43,2025-06-12
564.09,2025-06-12
673.89,2025-06-12
528.26,2025-06-12
660.74,2025-06-12
653.24,2025-06-12
537.99,2025-06-12
545.34,2025-06-12
669.66,2025-06-12
662.24,2025-10-28
544.82,2025-10-28
587.41,2025-10-28
554.2,2025-10-28
605.84,2025-10-28
564.11,2025-10-28
563.41,2025-10-28
610.54,2025-10-28
532.36,2025-10-28
668.39,2025-10-28
548.26,2025-10-28
552.77,2025-10-28
599.81,2025-10-28
653.1,2025-10-28
681.38,2025-10-28
665.56,2025-10-28
619.26,2025-10-28
627.04,2025-10-28
600.07,2025-10-28
589.99,2025-10-28
608.51,2025-10-28
584.94,2025-10-28
535.39,2025-10-28
551.87,2025-10-28
647.42,2025-10-28
619.94,2025-10-28
555.16,2025-10-28
535.14,2025-10-28
564.47,2025-10-28
591.2,2025-10-28
642.59,2025-10-28
617.77,2025-10-28
580.88,2025-10-28
587.61,2025-10-28
545.0,2025-10-28
611.11,2025-10-28
533.43,2025-10-28
670.16,2025-10-28
604.8,2025-10-28
650.11,2025-10-28
649.36,2025-10-28
555.34,2025-10-28
683.66,2025-10-28
623.53,2025-10-28
651.86,2026-04-28
604.05,2026-04-28
554.48,2026-04-28
677.3,2026-04-28
631.3,2026-04-28
684.12,2026-04-28
648.28,2026-04-28
576.91,2026-04-28
625.03,2026-04-28
642.0,2026-04-28
633.94,2026-04-28
599.31,2026-04-28
535.46,2026-04-28
601.45,2026-04-28
623.97,2026-04-28
574.44,2026-04-28
633.5,2026-04-28
669.96,2026-04-28
526.97,2026-04-28
653.62,2026-04-28
636.68,2026-04-28
615.98,2026-04-28
593.28,2026-04-28
597.09,2026-04-28
654.75,2026-04-28
576.4,2026-04-28
608.1,2026-04-28
576.88,2026-04-28
660.49,2026-04-28
639.96,2026-04-28
676.46,2026-04-28
675.78,2026-11-27
583.04,2026-11-27
677.84,2026-11-27
665.38,2026-11-27
529.21,2026-11-27
593.5,2026-11-27
587.33,2026-11-27
636.35,2026-11-27
637.82,2026-11-27
536.62,2026-11-27
541.94,2026-11-27
598.14,2026-11-27
558.4,2026-11-27
532.97,2026-11-27
678.87,2026-11-27
529.47,2026-11-27
634.71,2026-11-27
585.6,2026-11-27
569.27,2026-11-27
627.11,2026-11-27
646.04,2026-11-27
548.4,2026-11-27
585.9,2026-11-27
663.34,2026-11-27
525.92,2026-11-27
654.92,2026-11-27
667.37,2026-11-27
607.57,2026-11-27
641.12,2026-11-27
540.56,2026-11-27
604.1,2026-11-27
626.19,2027-07-29
652.61,2027-07-29
586.56,2027-07-29
548.17,2027-07-29
587.96,2027-07-29
554.11,2027-07-29
622.78,2027-07-29
687.42,2027-07-29
562.41,2027-07-29
671.52,2027-07-29
649.73,2027-07-29
563.96,2027-07-29
554.45,2027-07-29
603.22,2027-07-29
535.76,2027-07-29
641.5,2027-07-29
604.77,2027-07-29
600.27,2027-07-29
588.62,2027-07-29
598.05,2027-07-29
545.8,2027-07-29
590.73,2027-07-29
656.99,2027-07-29
636.05,2027-07-29
597.07,2027-07-29
615.89,2027-07-29
683.27,2027-07-29
628.42,2027-07-29
636.93,2027-07-29
566.07,2027-07-29
666.79,2028-04-28
621.25,2028-04-28
620.8,2028-04-28
596.03,2028-04-28
652.81,2028-04-28
632.02,2028-04-28
645.88,2028-04-28
596.25,2028-04-28
595.86,2028-04-28
628.16,2028-04-28
571.07,2028-04-28
540.47,2028-04-28
639.38,2028-04-28
610.91,2028-04-28
544.71,2028-04-28
648.28,2028-04-28
570.39,2028-04-28
587.39,2028-04-28
579.53,2028-04-28
649.62,2028-04-28
552.17,2028-04-28
657.33,2028-04-28
678.39,2028-04-28
687.8,2029-02-19
591.03,2029-02-19
601.66,2029-02-19
