Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.85,160.52,508.57,843.22,27.88
25.22,162.55,586.83,839.34,19.41
25.98,167.28,594.16,834.0,22.2
25.82,163.26,564.21,827.9,24.96
25.59,165.8,536.15,848.43,29.04
25.97,160.82,596.88,828.3,37.93
25.73,167.08,506.29,827.23,24.58
25.48,166.75,550.28,802.31,29.35
25.05,169.59,588.78,822.65,23.67
25.24,163.19,566.22,806.76,25.67
25.89,164.86,516.6,836.31,23.88
25.93,163.3,527.83,835.77,28.27
25.9,166.84,544.34,816.79,21.27
25.28,167.1,593.86,837.92,37.69
25.61,161.56,538.03,830.8,28.45
25.97,164.21,543.83,803.75,24.44
25.88,167.33,515.39,809.62,22.48
25.98,160.56,562.5,810.08,36.33
25.21,165.11,501.98,846.32,23.72
25.45,167.71,572.61,838.05,26.81
25.99,168.92,549.77,816.32,19.29
25.06,160.84,579.92,833.57,20.94
25.79,162.68,502.0,802.29,44.35
25.66,165.44,549.85,829.17,18.16
